diff	method	para
-0.0680600598966105	alpha_1	simulation4
-0.0583524832299619	alpha_1	simulation4
-0.051297211492927	alpha_1	simulation4
-0.0621620717358086	alpha_1	simulation4
-0.04482035926503	alpha_1	simulation4
-0.00193730032697742	alpha_1	simulation4
-0.0683644450370913	alpha_1	simulation4
-0.0326279273175106	alpha_1	simulation4
-0.0461921893461635	alpha_1	simulation4
-0.0655589670355755	alpha_1	simulation4
-0.0630417685641188	alpha_1	simulation4
-0.0479827117436983	alpha_1	simulation4
-0.05366225719654	alpha_1	simulation4
-0.00198731078207554	alpha_1	simulation4
-0.0153306820367433	alpha_1	simulation4
-0.076503648488789	alpha_1	simulation4
-0.0716215663856219	alpha_1	simulation4
-0.0636913841537496	alpha_1	simulation4
-0.0523252526996008	alpha_1	simulation4
-0.0573754852933781	alpha_1	simulation4
-0.0426675259487367	alpha_1	simulation4
5.37182425848493e-05	alpha_1	simulation4
-0.0829504778543778	alpha_1	simulation4
-0.0331439096139183	alpha_1	simulation4
-0.0416144506645902	alpha_1	simulation4
-0.0669576168034654	alpha_1	simulation4
-0.0638017469884814	alpha_1	simulation4
-0.0341821811302877	alpha_1	simulation4
-0.0619536046681573	alpha_1	simulation4
-0.00110481439343818	alpha_1	simulation4
-0.0404514733364139	alpha_1	simulation4
-0.0732443868625713	alpha_1	simulation4
-0.0525305511178976	alpha_1	simulation4
-0.0522412688419478	alpha_1	simulation4
-0.0583150198629084	alpha_1	simulation4
-0.05422171615747	alpha_1	simulation4
-0.0508417389862339	alpha_1	simulation4
-0.000959617610917063	alpha_1	simulation4
-0.0171600423838337	alpha_1	simulation4
-0.0729670657116521	alpha_1	simulation4
-0.0679563419293953	alpha_1	simulation4
-0.0585052193876931	alpha_1	simulation4
-0.0522710807843471	alpha_1	simulation4
-0.0681974059451683	alpha_1	simulation4
-0.0401952797026566	alpha_1	simulation4
-0.000240693889698607	alpha_1	simulation4
-0.0259730271807779	alpha_1	simulation4
-0.0640753184348844	alpha_1	simulation4
-0.0616472222967836	alpha_1	simulation4
-0.0590527816399247	alpha_1	simulation4
-0.0536959642143466	alpha_1	simulation4
-0.072624120826266	alpha_1	simulation4
-0.0384521070094765	alpha_1	simulation4
-0.00434541603741544	alpha_1	simulation4
-0.0516130653008925	alpha_1	simulation4
-0.0566362413185289	alpha_1	simulation4
-0.0662295383880064	alpha_1	simulation4
-0.0760527112234258	alpha_1	simulation4
-0.0445378474639067	alpha_1	simulation4
-0.0366392499194119	alpha_1	simulation4
-0.0575457360052034	alpha_1	simulation4
-0.000962653590271034	alpha_1	simulation4
-0.0434224206707972	alpha_1	simulation4
-0.038594948284327	alpha_1	simulation4
-0.0455608850791124	alpha_1	simulation4
-0.0470377537271437	alpha_1	simulation4
-0.0550031275016605	alpha_1	simulation4
-0.106399724801851	alpha_1	simulation4
-0.0228866765453346	alpha_1	simulation4
-0.000677936269472545	alpha_1	simulation4
-0.0377995686047397	alpha_1	simulation4
-0.0525416746124739	alpha_1	simulation4
-0.0523731747959026	alpha_1	simulation4
-0.0527451378101807	alpha_1	simulation4
-0.0572091754302292	alpha_1	simulation4
-0.08155670368841	alpha_1	simulation4
-0.0341235811141896	alpha_1	simulation4
-0.00141227027993129	alpha_1	simulation4
-0.0351993097893951	alpha_1	simulation4
-0.0616827103965975	alpha_1	simulation4
-0.06378011739051	alpha_1	simulation4
-0.0706824777291129	alpha_1	simulation4
-0.057422513517858	alpha_1	simulation4
-0.0417269475812601	alpha_1	simulation4
-0.0543666604082625	alpha_1	simulation4
-0.00154055526280705	alpha_1	simulation4
-0.0554246326257228	alpha_1	simulation4
-0.0557220168309616	alpha_1	simulation4
-0.0373780654752144	alpha_1	simulation4
-0.0534024779426883	alpha_1	simulation4
-0.0565614668472458	alpha_1	simulation4
-0.0738364470480878	alpha_1	simulation4
-0.0391598771914054	alpha_1	simulation4
-0.00172745197142185	alpha_1	simulation4
-0.0882653268208097	alpha_1	simulation4
-0.0269806223024067	alpha_1	simulation4
-0.0417268498671726	alpha_1	simulation4
-0.0829983815201703	alpha_1	simulation4
-0.0611858352656408	alpha_1	simulation4
-0.0272729955364734	alpha_1	simulation4
-0.0571711616945811	alpha_1	simulation4
-0.00248387155232166	alpha_1	simulation4
-0.038903131160261	alpha_1	simulation4
-0.0475286191710849	alpha_1	simulation4
-0.0481219844543473	alpha_1	simulation4
-0.0461930040430225	alpha_1	simulation4
-0.0563486418754692	alpha_1	simulation4
-0.0975885330187041	alpha_1	simulation4
-0.0256910253384539	alpha_1	simulation4
-0.00352030146589866	alpha_1	simulation4
-0.0404217640792534	alpha_1	simulation4
-0.069094740507867	alpha_1	simulation4
-0.0543884503303996	alpha_1	simulation4
-0.0488826583207889	alpha_1	simulation4
-0.0538993065272564	alpha_1	simulation4
-0.0674796988374617	alpha_1	simulation4
-0.0389099068060381	alpha_1	simulation4
-0.00177273634219915	alpha_1	simulation4
-0.0501557692896745	alpha_1	simulation4
-0.0659950100451292	alpha_1	simulation4
-0.0504709133163378	alpha_1	simulation4
-0.0603915847990503	alpha_1	simulation4
-0.0562198290296902	alpha_1	simulation4
-0.0488989105025216	alpha_1	simulation4
-0.0472498668669743	alpha_1	simulation4
-0.00296003162926656	alpha_1	simulation4
-0.0679012230386695	alpha_1	simulation4
-0.0745422447088012	alpha_1	simulation4
-0.0262875842170414	alpha_1	simulation4
-0.0557018716500708	alpha_1	simulation4
-0.0570607180698545	alpha_1	simulation4
-0.0522331145690832	alpha_1	simulation4
-0.0456774764898878	alpha_1	simulation4
